Year,Emirates,Pump price for diesel fuel,Pump price for gasoline,Pump price for gasoline E-plus
2010,Abu Dhabi,2.35,1.61,
2011,Abu Dhabi,2.35,1.61,
2012,Abu Dhabi,2.35,1.68,
2013,Abu Dhabi,1.68,1.64,
