year,Item_EN,Item_AR,Type_EN,Type_AR,USD_Million
2011,     Re Exports,     إعادة التصدير,Credit,دائن,119564.6017699115
2011,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2011,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2011,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2011,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2011,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2011,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2011,Services ( NET ),الخدمات (صافى),Credit,دائن,-43720.62627637849
2011,     Services,     الخدمات  ,Credit,دائن,12797.82164737917
2011,     Travel,     السياحة,Credit,دائن,9203.53982300885
2011,     Transport,     النقل,Credit,دائن,2859.0878148400275
2011,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,735.1940095302928
2011,Other Services,خدمات أخرى,Credit,دائن,nan
2011,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2011,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,110.0068073519401
2011,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,6820.966643975494
2011,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2011,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-12035.398230088496
2011,     Private,     خاصة,Credit,دائن,nan
2011,     Public,     عامة,Credit,دائن,nan
2011,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,50948.40027229408
2011,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2011,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2011,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2011,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2011,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2011,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2011,     Gas Exports,     الغاز,Debit,مدين,nan
2011,     Other Exports,     صادرات أخرى,Debit,مدين,nan
