year,Item_EN,Item_AR,Type_EN,Type_AR,USD_Million
2015,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,39509.87066031314
2015,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2015,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2015,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,6426.140231449966
2015,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2015,     Private,     خاصة,Debit,مدين,8795.098706603132
2015,     Public,     عامة,Debit,مدين,30850.918992511914
2015,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
2016,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,28454.731109598368
2016,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,68427.50170183799
2016,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,295030.6330837304
2016,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,360626.2763784888
2016,Crude Oil Exports,     النفط الخام,Credit,دائن,25159.97277059224
2016,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,15275.69775357386
2016,     Gas Exports,     الغاز,Credit,دائن,6017.699115044248
2016,     Other Exports,     صادرات أخرى,Credit,دائن,45908.78148400273
2016,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,57562.96800544588
2016,     Re Exports,     إعادة التصدير,Credit,دائن,145105.51395507148
2016,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2016,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2016,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2016,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2016,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2016,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2016,Services ( NET ),الخدمات (صافى),Credit,دائن,-18216.473791695033
2016,     Services,     الخدمات  ,Credit,دائن,65595.64329475834
2016,     Travel,     السياحة,Credit,دائن,19496.25595643295
2016,     Transport,     النقل,Credit,دائن,25486.725663716814
2016,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,898.57045609258
2016,Other Services,خدمات أخرى,Credit,دائن,19714.091218515998
2016,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2016,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,2096.6643975493535
2016,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,8522.80462899932
2016,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2016,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-39101.42954390742
2016,     Private,     خاصة,Credit,دائن,nan
2016,     Public,     عامة,Credit,دائن,nan
2016,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,13206.262763784887
2016,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2016,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2016,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2016,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2016,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2016,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2016,     Gas Exports,     الغاز,Debit,مدين,nan
2016,     Other Exports,     صادرات أخرى,Debit,مدين,nan
2016,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2016,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2016,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,266575.90197413205
2016,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,191967.32471068754
2016,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,74608.57726344452
2016,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,226603.13138189245
2016,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,83812.11708645338
2016,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,350388.0190605855
2016,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2016,     Services,     الخدمات  ,Debit,مدين,83812.11708645338
2016,     Travel,     السياحة,Debit,مدين,17127.297481279784
2016,     Transport,     النقل,Debit,مدين,14132.06262763785
2016,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,1170.864533696392
2016,Other Services,خدمات أخرى,Debit,مدين,11409.121851599728
2016,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,39972.77059223962
2016,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2016,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2016,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,6426.140231449966
2016,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2016,     Private,     خاصة,Debit,مدين,6044.928522804629
2016,     Public,     عامة,Debit,مدين,33056.50102110279
2016,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
2017,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,39836.62355343771
2017,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,80898.57045609258
2017,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,313546.63036078966
2017,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,384043.5670524166
2017,Crude Oil Exports,     النفط الخام,Credit,دائن,31313.818924438394
2017,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,19332.87950987066
2017,     Gas Exports,     الغاز,Credit,دائن,7488.087134104833
2017,     Other Exports,     صادرات أخرى,Credit,دائن,45200.816882232815
2017,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,61402.31449965963
2017,     Re Exports,     إعادة التصدير,Credit,دائن,148808.71341048332
2017,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2017,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2017,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2017,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2017,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2017,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2017,Services ( NET ),الخدمات (صافى),Credit,دائن,-15003.403675970048
2017,     Services,     الخدمات  ,Credit,دائن,70496.93669162696
2017,     Travel,     السياحة,Credit,دائن,21048.33219877468
2017,     Transport,     النقل,Credit,دائن,27910.142954390743
2017,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,925.7998638529613
2017,Other Services,خدمات أخرى,Credit,دائن,20612.66167460858
2017,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2017,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,2777.399591558884
2017,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,9394.145677331519
2017,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2017,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-41198.09394145678
2017,     Private,     خاصة,Credit,دائن,nan
2017,     Public,     عامة,Credit,دائن,nan
2017,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,27474.472430224643
2017,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2017,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2017,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2017,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2017,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2017,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2017,     Gas Exports,     الغاز,Debit,مدين,nan
2017,     Other Exports,     صادرات أخرى,Debit,مدين,nan
2017,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2017,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2017,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,273710.00680735195
2017,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,191449.9659632403
2017,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,82260.04084411165
2017,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,232648.0599046971
2017,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,85500.340367597
2017,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,359210.34717494895
2017,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2017,     Services,     الخدمات  ,Debit,مدين,85500.340367597
2017,     Travel,     السياحة,Debit,مدين,17644.656228727024
2017,     Transport,     النقل,Debit,مدين,14404.356705241662
2017,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,1225.3233492171546
2017,Other Services,خدمات أخرى,Debit,مدين,11164.057181756298
2017,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,41061.94690265487
2017,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2017,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2017,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,6616.746085772635
2017,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2017,     Private,     خاصة,Debit,مدين,5990.469707283867
2017,     Public,     عامة,Debit,مدين,35207.62423417291
2017,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
