Year,Emirates,Pump_price_for_diesel_fuel AED per_litre,Pump_price_for_gasoline AED per_litre,* Pump_price_for_gasoline AED per_litre_is_the_pump_price_of_gasoline_E-plus
2010,Abu Dhabi,2.35,1.61,
2011,Abu Dhabi,2.35,1.61,
2012,Abu Dhabi,2.35,1.68,
2013,Abu Dhabi,1.68,1.64,
